ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_XGBoost,pred_LightGBM,pred_DynamicRidge,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,fallback_DynamicRidge,nonfinite_DynamicRidge,catastrophic_DynamicRidge,residual_guard_DynamicRidge,residual_nonfinite_DynamicRidge,residual_raw_min_DynamicRidge,residual_raw_max_DynamicRidge,safety_limit_DynamicRidge,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,50.53522581011433,51.256954,53.12385,40.890476,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,50.53522581011433,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,80.41077067969763,65.15985,65.56383,62.951153,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,80.41077067969763,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,18.48825266782946,28.292284,25.355782,23.147936,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,18.48825266782946,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,83.63816732087727,83.087555,79.11228,58.0512,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,83.63816732087727,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,87.36721088429877,107.02802,100.77313,44.98063,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,87.36721088429877,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,26.420098243402254,25.908983,32.29279,23.05402,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,26.420098243402254,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,12.456502541466389,11.87922,12.597065,12.952491,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,12.456502541466389,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,21.43444394607172,20.683558,18.464674,17.470568,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,21.43444394607172,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,33.32756357231894,38.753174,40.02067,26.099005,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,33.32756357231894,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,43.70140750398836,50.694374,49.130383,40.528393,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,43.70140750398836,47.0,True,37.8,63.0,32.142857142857146
