model,evaluation_regime,direct_n,recursive_n,paired_n,metric,direct_value,recursive_value,absolute_delta,relative_delta,winner
NeuralNet,conditional,2429,2429,2393,WAPE,0.3566038936067491,1.7720049651681256,1.4154010715613765,3.969112780137599,direct
NeuralNet,conditional,2429,2429,2393,MAE,14.627465519703835,72.68552585498239,58.058060335278554,3.969112780137599,direct
NeuralNet,conditional,2429,2429,2393,RMSE,23.565051060451715,2185.4098773856526,2161.8448263252008,91.73945011956026,direct
NeuralNet,conditional,2429,2429,2393,Bias,3.0386099323686375,64.24046648407251,61.20185655170388,20.14139949315449,direct
NeuralNet,conditional,2429,2429,2393,BiasRatio,0.07407846093194798,1.5661223364003498,1.4920438754684018,20.14139949315449,direct
XGBoost,conditional,2429,2429,2393,WAPE,0.3184871315693792,0.3086219668252043,-0.00986516474417487,-0.030975081145549657,recursive
XGBoost,conditional,2429,2429,2393,MAE,13.063961496275438,12.65930422884597,-0.4046572674294673,-0.0309750811455496,recursive
XGBoost,conditional,2429,2429,2393,RMSE,22.510039891604123,20.130232416800283,-2.3798074748038403,-0.10572204608537676,recursive
XGBoost,conditional,2429,2429,2393,Bias,0.9360150204659305,2.5803418026289777,1.6443267821630472,1.7567311914979018,direct
XGBoost,conditional,2429,2429,2393,BiasRatio,0.02281916852396108,0.06290631363405065,0.04008714511008957,1.7567311914979018,direct
LightGBM,conditional,2429,2429,2393,WAPE,0.3184368189507543,0.30895811019378977,-0.009478708756964549,-0.02976637182910188,recursive
LightGBM,conditional,2429,2429,2393,MAE,13.061897732790698,12.673092428082748,-0.38880530470794916,-0.02976637182910176,recursive
LightGBM,conditional,2429,2429,2393,RMSE,23.496309134272447,20.369827591186905,-3.126481543085543,-0.1330626663625718,recursive
LightGBM,conditional,2429,2429,2393,Bias,0.34803490220217637,1.968258282584663,1.6202233803824866,4.655347409499997,direct
LightGBM,conditional,2429,2429,2393,BiasRatio,0.008484764573135233,0.04798429134889768,0.03949952677576245,4.6553474094999965,direct
SeasonalNaive,conditional,2429,2429,2390,WAPE,0.755201160271909,0.755201160271909,0.0,0.0,tie
SeasonalNaive,conditional,2429,2429,2390,MAE,30.9736750348675,30.9736750348675,0.0,0.0,tie
SeasonalNaive,conditional,2429,2429,2390,RMSE,51.60353087275681,51.60353087275681,0.0,0.0,tie
SeasonalNaive,conditional,2429,2429,2390,Bias,14.094456066945607,14.094456066945607,0.0,0.0,tie
SeasonalNaive,conditional,2429,2429,2390,BiasRatio,0.3436514899564388,0.3436514899564388,0.0,0.0,tie
MovingAvg28,conditional,2429,2429,2393,WAPE,0.7195954501987056,0.7195954501987056,0.0,0.0,tie
MovingAvg28,conditional,2429,2429,2393,MAE,29.516945340829313,29.516945340829313,0.0,0.0,tie
MovingAvg28,conditional,2429,2429,2393,RMSE,48.13045091327607,48.13045091327607,0.0,0.0,tie
MovingAvg28,conditional,2429,2429,2393,Bias,6.467784994448814,6.467784994448814,0.0,0.0,tie
MovingAvg28,conditional,2429,2429,2393,BiasRatio,0.15767853350430952,0.15767853350430952,0.0,0.0,tie
