ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_XGBoost,pred_LightGBM,pred_DynamicRidge,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,fallback_DynamicRidge,nonfinite_DynamicRidge,catastrophic_DynamicRidge,residual_guard_DynamicRidge,residual_nonfinite_DynamicRidge,residual_raw_min_DynamicRidge,residual_raw_max_DynamicRidge,safety_limit_DynamicRidge,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,51.77412041161753,51.645958,52.104744,38.795113,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,51.77412041161753,47.0,True,66.3,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,85.5448865868659,72.371216,68.36924,51.962387,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,85.5448865868659,48.0,True,58.9,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,16.36215348751166,25.466028,27.736643,21.455507,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,16.36215348751166,26.0,True,49.9,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,87.99377278893841,73.374565,75.78335,46.102375,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,87.99377278893841,68.0,True,81.1,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,82.3123512297766,99.601524,87.57984,50.930637,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,82.3123512297766,122.0,True,117.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,31.22480628422465,25.770329,26.863884,21.56124,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,31.22480628422465,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,10.811037704785594,12.098436,13.425877,14.827964,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,10.811037704785594,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.98981824707269,13.284246,16.116484,19.245975,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,22.98981824707269,26.0,True,19.4,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,31.905959272170822,29.353683,33.705425,29.35507,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,31.905959272170822,40.0,True,62.2,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,45.603022617044296,45.013615,51.673317,41.36896,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,45.603022617044296,47.0,True,37.8,63.0,32.142857142857146
