ProductId,horizon,DateKey,origin,origin_type,strategy,validation_stratum,pred_NeuralNet,pred_XGBoost,pred_LightGBM,pred_DynamicRidge,fallback_NeuralNet,nonfinite_NeuralNet,catastrophic_NeuralNet,residual_guard_NeuralNet,residual_nonfinite_NeuralNet,residual_raw_min_NeuralNet,residual_raw_max_NeuralNet,safety_limit_NeuralNet,fallback_XGBoost,nonfinite_XGBoost,catastrophic_XGBoost,residual_guard_XGBoost,residual_nonfinite_XGBoost,residual_raw_min_XGBoost,residual_raw_max_XGBoost,safety_limit_XGBoost,fallback_LightGBM,nonfinite_LightGBM,catastrophic_LightGBM,residual_guard_LightGBM,residual_nonfinite_LightGBM,residual_raw_min_LightGBM,residual_raw_max_LightGBM,safety_limit_LightGBM,fallback_DynamicRidge,nonfinite_DynamicRidge,catastrophic_DynamicRidge,residual_guard_DynamicRidge,residual_nonfinite_DynamicRidge,residual_raw_min_DynamicRidge,residual_raw_max_DynamicRidge,safety_limit_DynamicRidge,pred_NeuralNet_seed42,actual,ProductAvailable,baseline,pred_SeasonalNaive,pred_MovingAvg28
1,1,2023-01-11,2023-01-10,development,direct,winter_test_like,52.73140602801948,51.755054,56.241184,43.46443,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,52.73140602801948,47.0,True,68.5,50.0,81.92857142857143
2,1,2023-01-11,2023-01-10,development,direct,winter_test_like,86.01393668654262,68.49742,69.08413,55.568123,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,86.01393668654262,48.0,True,63.0,76.0,67.25
3,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.787059193429474,28.149117,33.1774,24.185808,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,17.787059193429474,26.0,True,58.5,19.0,54.67857142857143
4,1,2023-01-11,2023-01-10,development,direct,winter_test_like,84.77181099521876,78.665695,76.52856,54.246098,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,84.77181099521876,68.0,True,83.0,80.0,95.82142857142857
5,1,2023-01-11,2023-01-10,development,direct,winter_test_like,98.17516530543104,89.92353,91.217514,61.777058,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,98.17516530543104,122.0,True,116.0,141.0,116.03571428571429
6,1,2023-01-11,2023-01-10,development,direct,winter_test_like,29.450449027440307,29.93136,27.509174,21.859943,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,29.450449027440307,25.0,True,17.0,23.0,17.0
7,1,2023-01-11,2023-01-10,development,direct,winter_test_like,11.693820293352243,14.103539,12.700465,14.379532,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,11.693820293352243,23.0,True,21.5,34.0,14.892857142857142
8,1,2023-01-11,2023-01-10,development,direct,winter_test_like,17.56223266071834,17.59791,18.214882,18.3395,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,17.56223266071834,26.0,True,18.0,14.0,20.821428571428573
9,1,2023-01-11,2023-01-10,development,direct,winter_test_like,29.133377654208516,34.796543,34.78253,29.093756,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,29.133377654208516,40.0,True,32.5,124.0,38.392857142857146
10,1,2023-01-11,2023-01-10,development,direct,winter_test_like,46.60480612336646,45.37288,51.365177,38.46049,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,46.60480612336646,47.0,True,29.0,63.0,32.142857142857146
11,1,2023-01-11,2023-01-10,development,direct,winter_test_like,46.52777310492693,43.087223,45.650345,29.67617,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,46.52777310492693,33.0,True,78.0,53.0,74.64285714285714
12,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.49315641959326,26.088459,28.521942,33.904926,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,19.49315641959326,15.0,True,31.0,62.0,26.785714285714285
13,1,2023-01-11,2023-01-10,development,direct,winter_test_like,50.57844024581142,44.093967,44.508533,40.77994,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,50.57844024581142,51.0,True,46.0,54.0,40.42857142857143
14,1,2023-01-11,2023-01-10,development,direct,winter_test_like,48.03544944986278,45.28703,40.749283,34.371,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,48.03544944986278,55.0,True,23.0,42.0,24.607142857142858
15,1,2023-01-11,2023-01-10,development,direct,winter_test_like,45.60284345208745,41.787403,39.54786,38.338295,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,45.60284345208745,55.0,True,37.0,65.0,32.17857142857143
16,1,2023-01-11,2023-01-10,development,direct,winter_test_like,49.19150910071697,46.524036,51.891808,41.628803,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,49.19150910071697,48.0,True,82.0,73.0,70.89285714285714
17,1,2023-01-11,2023-01-10,development,direct,winter_test_like,19.766152771217314,23.221342,20.093575,24.185942,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,19.766152771217314,18.0,True,14.5,15.0,17.392857142857142
18,1,2023-01-11,2023-01-10,development,direct,winter_test_like,30.342222099858095,24.91882,22.917751,27.053947,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,30.342222099858095,26.0,True,45.0,60.0,35.285714285714285
19,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.64876649936109,71.436966,81.88782,32.604225,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,41.64876649936109,74.0,True,11.0,107.0,38.607142857142854
20,1,2023-01-11,2023-01-10,development,direct,winter_test_like,38.17464248978159,38.616867,40.290672,36.369762,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,38.17464248978159,57.0,True,40.0,40.0,40.5
21,1,2023-01-11,2023-01-10,development,direct,winter_test_like,25.8258848354244,26.91801,30.991129,29.930365,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,25.8258848354244,27.0,True,21.5,25.0,20.5
22,1,2023-01-11,2023-01-10,development,direct,winter_test_like,3.8719246307153132,2.7102408,4.176595,18.02771,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,3.8719246307153132,6.0,True,17.5,3.0,17.428571428571427
23,1,2023-01-11,2023-01-10,development,direct,winter_test_like,47.482105463038764,36.581764,35.49051,42.53072,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,47.482105463038764,42.0,True,40.0,56.0,37.785714285714285
24,1,2023-01-11,2023-01-10,development,direct,winter_test_like,0.0,11.24469,9.882981,561.765,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,0.0,0.0,False,,,
25,1,2023-01-11,2023-01-10,development,direct,winter_test_like,41.1178804866858,37.026924,37.362034,30.199987,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,41.1178804866858,40.0,True,43.0,75.0,30.678571428571427
26,1,2023-01-11,2023-01-10,development,direct,winter_test_like,1.265773933985185,0.95369756,0.6318486,8.035808,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,1.265773933985185,0.0,False,7.5,5.666666666666667,5.454545454545454
27,1,2023-01-11,2023-01-10,development,direct,winter_test_like,32.82717668209163,29.179838,26.735676,27.796757,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,32.82717668209163,35.0,True,23.0,52.0,26.416666666666668
28,1,2023-01-11,2023-01-10,development,direct,winter_test_like,22.497114747480627,20.470911,27.606434,9.418592,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,22.497114747480627,28.0,True,4.0,6.0,5.107142857142857
1,2,2023-01-12,2023-01-10,development,direct,winter_test_like,46.91073913921418,58.654533,56.605305,40.265007,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,46.91073913921418,36.0,True,50.0,57.0,81.92857142857143
2,2,2023-01-12,2023-01-10,development,direct,winter_test_like,74.55152703483765,69.20496,71.41692,50.200344,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,74.55152703483765,49.0,True,61.5,89.0,67.25
3,2,2023-01-12,2023-01-10,development,direct,winter_test_like,5.836006116568062,12.699808,13.710898,14.708943,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,,,,5.836006116568062,10.0,True,31.5,15.0,54.67857142857143
