model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
NeuralNet,realized,common,global,12,346,346,346,343,1.0,11.426979381414286,17.364743919283494,45.11365661936989,0.25447694635924556,0.3019833402926231,0.3938797888105855,2.3834700325731353,0.05307948455866676,343.0,direct,1,development
NeuralNet,realized,common,mean_fold,12,346,346,346,343,1.0,11.37212559512829,14.972482700450044,44.85736909609822,0.2579648476956797,0.30309761984883393,0.38260314461952954,2.2231160882748657,0.06396834120738461,28.583333333333332,direct,1,development
XGBoost,realized,common,global,12,346,346,346,343,1.0,12.047919903308935,19.356857772495978,34.73485941082396,0.268305189380273,0.30585422112925,0.37232813152482896,0.3751163261972433,0.00835377872261099,343.0,direct,1,development
XGBoost,realized,common,mean_fold,12,346,346,346,343,1.0,11.871777527914398,16.479531619718237,34.59855275833038,0.2682949446887166,0.3048028205665465,0.3655132585082507,0.3564635784547854,0.006487557859283205,28.583333333333332,direct,1,development
LightGBM,realized,common,global,12,346,346,346,343,1.0,11.563567115509823,17.97763649320108,35.56159932030019,0.25751873267237174,0.2978162472182973,0.3616094733177043,1.1431695120327674,0.0254581965087157,343.0,direct,1,development
LightGBM,realized,common,mean_fold,12,346,346,346,343,1.0,11.42218414596696,15.399527814140122,35.46300581978823,0.2546510427300229,0.2974499683424934,0.35575704175939404,1.0774001501161221,0.020180856098571648,28.583333333333332,direct,1,development
DynamicRidge,realized,common,global,12,346,346,346,343,1.0,24.193588226946726,85.75379532678575,69.63502119385339,0.5387872199612211,0.37144803419181976,0.5215748913732043,14.07316130243307,0.3134069813488211,343.0,direct,1,development
DynamicRidge,realized,common,mean_fold,12,346,346,346,343,1.0,23.797195734994975,46.353853742055605,68.78983217556645,0.45246115911589907,0.3707307799673843,0.49161630840566417,13.7433231805395,0.22742103727895993,28.583333333333332,direct,1,development
SeasonalNaive,realized,common,global,12,346,346,343,343,0.9913294797687862,24.838678328474252,40.03919767150894,153.78264322532846,0.5531532701380774,0.5306318701484747,0.7596644478528272,5.789115646258503,0.1289226507379994,343.0,direct,1,development
SeasonalNaive,realized,common,mean_fold,12,346,346,343,343,0.9913294797687862,24.601861785156803,33.79858454907092,149.83417602033248,0.6238826445863755,0.5301701502100212,0.7092903608488074,5.382202355612318,0.2681843184872154,28.583333333333332,direct,1,development
MovingAvg28,realized,common,global,12,346,346,343,343,0.9913294797687862,21.2068880610711,34.34692854024558,102.62432421840823,0.4722738998147895,0.470612081896916,0.6502147320336703,2.188248149225458,0.048731925411266856,343.0,direct,1,development
MovingAvg28,realized,common,mean_fold,12,346,346,343,343,0.9913294797687862,21.04100019606537,27.0367571043522,100.36336884697738,0.507582546197804,0.4705479493350249,0.6088003362940514,1.79731161487096,0.19708998415944903,28.583333333333332,direct,1,development
